date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-04-25,10.65,10.87,10.72,10.53,154880.81,-0.02,-0.19,10.764,10.765,10.304,108591.17,117993.46,92233.16
2017-04-24,11.06,11.15,10.74,10.6,114288.62,-0.32,-2.89,10.772,10.733,10.241,87735.45,111882.16,86560.57
2017-04-21,10.87,11.25,11.06,10.87,107623.05,0.23,2.12,10.766,10.706,10.18,85442.19,113778.0,83110.09
2017-04-20,10.5,10.95,10.83,10.46,82888.6,0.36,3.44,10.75,10.606,10.104,93022.67,113504.04,80203.52
2017-04-19,10.71,10.8,10.47,10.34,83274.78,-0.29,-2.69,10.676,10.494,10.043,119737.08,108866.95,79832.83
2017-04-18,10.61,10.84,10.76,10.55,50602.21,0.05,0.47,10.766,10.419,9.998,127395.74,105251.9,82202.92
2017-04-17,10.89,10.89,10.71,10.43,102822.29,-0.27,-2.46,10.694,10.302,9.923,136028.87,103962.69,82802.09
2017-04-14,10.48,10.98,10.98,10.48,145525.45,0.52,4.97,10.646,10.177,9.85,142113.82,99512.86,79642.02
2017-04-13,10.98,11.46,10.46,10.43,216460.69,-0.46,-4.21,10.462,10.047,9.761,133985.41,89495.61,74272.85
2017-04-12,10.54,10.92,10.92,10.42,121568.06,0.52,5.0,10.312,9.967,9.693,97996.81,72226.27,64819.74
2017-04-11,10.5,10.64,10.4,10.35,93767.87,-0.07,-0.67,10.072,9.842,9.602,83108.06,66472.86,60805.86
2017-04-10,10.03,10.56,10.47,10.01,133247.02,0.41,4.08,9.91,9.748,9.54,71896.5,61238.98,57953.31
2017-04-07,9.71,10.1,10.06,9.71,104883.43,0.35,3.6,9.708,9.654,9.476,56911.89,52442.18,53955.74
2017-04-06,9.72,9.77,9.71,9.63,36517.68,-0.01,-0.1,9.632,9.601,9.427,45005.81,46903.0,52342.73
2017-04-05,9.55,9.78,9.72,9.55,47124.28,0.13,1.36,9.622,9.591,9.407,46455.72,50798.72,54247.03
2017-03-31,9.45,9.62,9.59,9.38,37710.08,0.13,1.37,9.612,9.577,9.391,49837.65,59153.95,56506.64
2017-03-30,9.65,9.68,9.46,9.4,58324.0,-0.22,-2.27,9.586,9.544,9.362,50581.46,61641.49,55967.87
2017-03-29,9.65,9.75,9.68,9.65,45353.01,0.02,0.21,9.6,9.523,9.338,47972.46,59771.19,55408.66
2017-03-28,9.67,9.71,9.66,9.55,43767.25,-0.01,-0.1,9.57,9.474,9.298,48800.18,59050.08,54780.37
2017-03-27,9.58,9.83,9.67,9.53,64033.93,0.21,2.22,9.56,9.418,9.257,55141.71,57413.21,54596.13
2017-03-24,9.57,9.58,9.46,9.42,41429.13,-0.07,-0.73,9.542,9.361,9.205,68470.24,55138.87,52779.17
2017-03-23,9.53,9.68,9.53,9.46,45279.0,0.0,0.0,9.502,9.332,9.168,72701.52,54667.65,51882.01
2017-03-22,9.6,9.69,9.53,9.48,49491.61,-0.08,-0.83,9.446,9.298,9.132,71569.92,55469.3,50537.26
2017-03-21,9.45,9.7,9.61,9.4,75474.86,0.03,0.31,9.378,9.252,9.096,69299.98,57782.47,49258.33
2017-03-20,9.34,9.72,9.58,9.34,130676.59,0.32,3.46,9.276,9.223,9.057,59684.71,57695.35,46358.36
2017-03-17,9.27,9.37,9.26,9.22,62585.54,0.01,0.11,9.18,9.204,9.019,41807.51,53859.34,40936.99
2017-03-16,9.2,9.27,9.25,9.19,39621.0,0.06,0.65,9.162,9.179,8.997,36633.77,50294.25,38830.3
2017-03-15,9.1,9.26,9.19,9.08,38141.91,0.09,0.99,9.15,9.153,8.974,39368.67,51046.12,37642.0
2017-03-14,9.12,9.17,9.1,9.06,27398.49,0.0,0.0,9.126,9.122,8.953,46264.96,50510.65,36740.51
2017-03-13,9.15,9.15,9.1,9.0,41290.59,-0.07,-0.76,9.17,9.095,8.939,55706.0,51779.05,36174.76
