date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-04-17,13.84,14.05,13.54,13.43,111858.01,-0.33,-2.38,13.904,13.868,13.252,157402.16,209472.28,195919.62,1.86
2018-04-16,13.65,14.05,13.87,13.48,127665.01,0.04,0.29,14.032,13.851,13.218,178660.27,231867.77,197640.88,2.12
2018-04-13,14.09,14.36,13.84,13.8,138498.11,0.0,0.0,14.166,13.719,13.153,221460.94,230153.04,197328.69,2.31
2018-04-12,14.4,14.43,13.84,13.8,197766.19,-0.58,-4.02,14.15,13.581,13.084,245344.63,229822.51,196001.95,3.29
2018-04-11,14.17,14.55,14.43,14.06,211223.5,0.25,1.76,14.026,13.458,13.027,242952.47,227813.17,192406.09,3.52
2018-04-10,14.55,14.55,14.18,13.9,218148.55,-0.34,-2.34,13.832,13.214,12.955,261542.4,218178.52,189757.93,3.63
2018-04-09,13.8,14.55,14.54,13.5,341668.34,0.79,5.75,13.67,12.964,12.873,285075.26,216429.08,185214.83,5.69
2018-04-04,13.39,13.98,13.76,13.31,257916.56,0.52,3.93,13.272,12.795,12.76,238845.14,200186.02,172043.82,4.29
2018-04-03,13.17,13.67,13.22,13.15,185805.39,-0.23,-1.71,13.012,12.747,12.68,214300.39,205080.09,165688.68,3.09
2018-04-02,12.98,13.8,13.46,12.91,304173.16,0.09,0.67,12.89,12.715,12.649,212673.88,199113.24,162886.18,5.06
2018-03-30,12.67,13.79,13.37,12.52,335812.84,0.83,6.62,12.596,12.636,12.61,174814.63,182366.96,153968.05,5.59
2018-03-29,12.59,12.9,12.55,12.38,110517.75,0.09,0.72,12.258,12.584,12.576,147782.89,163414.0,147277.25,1.84
2018-03-28,12.55,12.93,12.46,12.41,135192.81,-0.17,-1.35,12.318,12.587,12.578,161526.9,164504.34,155605.18,2.25
2018-03-27,12.13,13.01,12.61,12.13,177672.84,0.61,5.08,12.482,12.586,12.575,195859.79,162181.39,158774.85,2.96
2018-03-26,11.53,12.08,11.99,11.3,114876.92,0.3,2.57,12.54,12.596,12.51,185552.6,156999.01,155419.37,1.91
2018-03-23,12.26,12.46,11.68,11.57,200654.14,-1.17,-9.11,12.676,12.696,12.467,189919.3,161337.34,153361.81,3.34
2018-03-22,13.02,13.21,12.85,12.72,179237.78,-0.44,-3.31,12.91,12.781,12.428,179045.1,154000.58,146438.96,2.98
2018-03-21,12.74,13.42,13.28,12.46,306857.25,0.41,3.19,12.856,12.724,12.329,167481.78,143901.63,140367.31,5.11
2018-03-20,12.47,12.98,12.9,12.31,126136.93,0.23,1.81,12.69,12.612,12.193,128503.0,126297.27,126699.05,2.1
2018-03-19,12.9,13.23,12.67,12.63,136710.38,-0.15,-1.17,12.652,12.582,12.068,128445.41,126659.12,123686.29,2.28
2018-03-16,12.5,12.95,12.85,12.43,146283.17,0.27,2.15,12.716,12.583,11.945,132755.39,125569.14,119038.62,2.43
