,date,open,close,high,low,volume,code
0,2017-07-11,26.9,32.28,32.28,26.9,98.0,603757
1,2017-07-12,35.51,35.51,35.51,35.51,62.0,603757
2,2017-07-13,39.06,39.06,39.06,39.06,80.0,603757
3,2017-07-14,42.97,42.97,42.97,42.97,288.0,603757
4,2017-07-17,47.27,47.27,47.27,44.0,57491.0,603757
5,2017-07-18,47.2,47.25,48.97,45.32,121504.0,603757
6,2017-07-19,46.35,45.06,46.5,44.3,81359.0,603757
7,2017-07-20,45.7,44.18,47.79,44.01,95764.0,603757
8,2017-07-21,42.9,43.18,43.8,42.2,67351.0,603757
9,2017-07-24,42.68,43.93,44.49,42.24,48616.0,603757
10,2017-07-25,43.93,42.15,43.93,41.8,46153.0,603757
11,2017-07-26,42.16,41.67,42.88,41.11,31990.0,603757
12,2017-07-27,41.21,42.95,43.58,40.78,54861.0,603757
13,2017-07-28,42.98,45.31,46.88,42.76,61607.0,603757
14,2017-07-31,45.0,48.79,49.4,44.82,54844.0,603757
15,2017-08-01,49.7,48.96,52.5,48.51,61309.0,603757
16,2017-08-02,47.8,50.91,51.67,47.8,42956.0,603757
17,2017-08-03,50.6,56.0,56.0,50.6,42293.0,603757
18,2017-08-04,57.57,56.03,58.8,54.12,41140.0,603757
19,2017-08-07,54.5,57.24,59.99,54.5,32604.0,603757
20,2017-08-08,56.0,55.31,58.5,52.0,29848.0,603757
21,2017-08-09,54.43,57.84,58.67,53.7,26494.0,603757
22,2017-08-10,56.6,56.16,58.47,54.99,14651.0,603757
23,2017-08-11,55.77,56.6,57.63,55.0,15819.0,603757
24,2017-08-14,56.5,55.96,57.58,55.1,18142.0,603757
25,2017-08-15,55.96,59.0,59.97,55.39,24385.0,603757
26,2017-08-16,58.59,61.62,63.13,58.59,23455.0,603757
27,2017-08-17,61.12,60.87,62.15,56.3,24659.0,603757
28,2017-08-18,59.79,57.25,59.79,57.08,16503.0,603757
29,2017-08-21,57.5,58.02,58.39,55.01,17579.0,603757
30,2017-08-22,57.5,56.95,59.14,56.9,9808.0,603757
31,2017-08-23,56.44,56.48,58.29,56.06,10730.0,603757
32,2017-08-24,56.3,57.41,59.6,56.3,20887.0,603757
33,2017-08-25,56.58,58.07,58.99,56.58,12292.0,603757
34,2017-08-28,58.5,60.8,62.5,57.55,21370.0,603757
35,2017-08-29,62.0,59.31,62.0,58.6,24201.0,603757
36,2017-08-30,58.63,57.02,59.48,56.12,18038.0,603757
